Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2022-0332-SOM,2022,0332,VW-2022-00214,Natural,Hydrological,Flood,,,,Somalia,SOM,Eastern Africa,Africa,Galkayo district,,Storm,,,,,,,Km2,,,,,2022,5,12,2022,5,30,,,4416,,4416,,,,,,,,,,,
2022-9405-PRT,2022,9405,,Natural,Climatological,Drought,Drought,,,Portugal,PRT,Southern Europe,Europe,,,Heat wave,,,,,,,Km2,,,,,2022,7,,2022,8,,,,,,,,,,,,,,,,,
2022-0486-USA,2022,0486,,Natural,Climatological,Wildfire,,,McKinney & Yeti Complex fires,United States of America (the),USA,Northern America,Americas,Siskiyou County (California),"Vague de chaleur, de forts vents et des orages",Heat wave,,,,,,,Km2,,,,,2022,7,29,2022,8,1,4,7,33,555,595,,,,,,,,2,,28911,Siskiyou (Adm2).
2022-0400-NIC,2022,0400,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Bonnie',Nicaragua,NIC,Central America,Americas,,,Flood,,,,,,,Kph,,,,,2022,7,2,2022,7,2,4,12,3000,,3012,,,,,,,,,,,
2022-0647-NIC,2022,0647,TC-2022-000343,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Julia',Nicaragua,NIC,Central America,Americas,,,Flood,,,,,,,Kph,,,,,2022,10,9,2022,10,9,1,,,2100,2100,,,,,180000,,,,,,
2022-0163-PER,2022,0163,,Natural,Hydrological,Landslide,Landslide,,,Peru,PER,South America,Americas,"Retamas (Pataz Province, La Libertad Department); Callalli District (Caylloma Province, Arequipa Region); Piura Region",Heavy rains,Flood,,,,,,,,,,,,2022,3,15,2022,3,15,10,,3113,,3113,,,,,,,,1;2,2347,24043;24124,"Piura (Adm1). Caylloma, Pataz (Adm2)."
2022-0680-PHL,2022,0680,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Nesat',Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,Flood,,,,,,148,Kph,,,,,2022,10,15,2022,10,16,,2,103600,,103602,,,,,,,,1,67165,,Region III (Central Luzon) (Adm1).
2022-0343-RUS,2022,0343,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Russian Federation (the),RUS,Eastern Europe,Europe,"Lazarevsky District, Sochi Greater Area (Krasnodar Krai)",,Flood,,,,,,,Kph,,,,Reka Chimit river,2022,6,24,2022,6,27,6,,300,,300,,,,,,,,1,2524,,Krasnodarskiy Kray (Adm1).
2022-0400-SLV,2022,0400,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Bonnie',El Salvador,SLV,Central America,Americas,,,Flood,,,,,,,Kph,,,,,2022,7,2,2022,7,2,1,,100,,100,,,,,,,,,,,
2022-0271-THA,2022,0271,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Thailand,THA,South-Eastern Asia,Asia,"Chiang Mai, Nakhon Phanom, Chumphon, Surat Thani, Nakhon Si Thammarat",,Flood,,,,,,,Kph,,,,,2022,5,5,2022,5,9,1,,1050,,1050,,,,,,,,1,2859;2862;2877;2880;2916,,"Chiang Mai, Chumphon, Nakhon Phanom, Nakhon Si Thammarat, Surat Thani (Adm1)."
2022-0284-USA,2022,0284,,Natural,Meteorological,Storm,Convective storm,,,United States of America (the),USA,Northern America,Americas,"Texas, North Carolina, West Virginia, Minnesota, Wisconsin",,Flood,,,,Yes,,,Kph,,,,,2022,5,5,2022,5,11,5,,,,,,,,,1200000,,,1,3237;3247;3257;3262;3263,,"Minnesota, North Carolina, Texas, West Virginia, Wisconsin (Adm1)."
